model_name,category,n_folds_run,n_subjects,cold_total_time_s,cold_per_fold_time_s,warm_total_time_s,warm_per_fold_time_s,cache_size_mb,cache_size_per_fold_mb,speedup_ratio,time_saved_s,mb_per_second_saved,cold_accuracy,warm_accuracy,accuracy_match,cache_verdict,error
svm_linear,svm,5,128,2572.9,514.58,1.32,0.264,0.03,0.006,1949.71,2571.58,0.0,0.7507,0.7507,True,VIABLE,
adaboost,boosting,5,128,971.89,194.379,0.37,0.074,0.1,0.021,2616.31,971.52,0.0001,0.6563,0.6563,True,VIABLE,
gradient_boosting,boosting,5,128,8539.14,1707.827,0.47,0.095,2.01,0.402,18030.36,8538.66,0.0002,0.81,0.81,True,VIABLE,
logistic_regression,linear,5,128,88.12,17.623,1.21,0.243,0.03,0.006,72.6,86.9,0.0004,0.6782,0.6782,True,VIABLE,
decision_tree,tree,5,128,128.51,25.702,0.28,0.057,2.31,0.461,452.82,128.23,0.018,0.6844,0.6844,True,VIABLE,
ridge_classifier,linear,5,128,2.5,0.499,1.21,0.242,0.03,0.006,2.07,1.29,0.0249,0.6178,0.6178,True,VIABLE,
catboost,boosting,5,128,92.91,18.581,0.56,0.113,2.57,0.515,164.92,92.34,0.0279,0.7336,0.7336,True,VIABLE,
svm_rbf,svm,5,128,7114.13,1422.825,51.53,10.307,309.95,61.991,138.05,7062.59,0.0439,0.7107,0.7107,True,VIABLE,
naive_bayes,probabilistic,5,128,1.44,0.289,0.29,0.058,0.05,0.011,4.98,1.15,0.0474,0.4428,0.4428,True,VIABLE,
xgboost,boosting,5,128,99.9,19.98,0.84,0.169,7.55,1.51,118.46,99.06,0.0762,0.8361,0.8361,True,VIABLE,
lightgbm,boosting,5,128,62.7,12.54,0.69,0.139,7.83,1.567,90.38,62.01,0.1263,0.8009,0.8009,True,VIABLE,
random_forest,tree_ensemble,5,128,192.17,38.434,13.27,2.653,653.95,130.79,14.49,178.9,3.6553,0.7971,0.7971,True,NOT_VIABLE,
extra_trees,tree_ensemble,5,128,97.77,19.554,22.92,4.585,1544.1,308.82,4.27,74.85,20.6304,0.7917,0.7917,True,NOT_VIABLE,
knn_5,distance,5,128,25.79,5.157,5.17,1.035,587.53,117.506,4.98,20.61,28.5037,0.763,0.763,True,NOT_VIABLE,
knn_10,distance,5,128,24.39,4.878,4.96,0.992,587.53,117.506,4.92,19.43,30.238,0.7761,0.7761,True,NOT_VIABLE,
