model_name,category,n_folds_run,n_subjects,cold_total_time_s,cold_per_fold_time_s,warm_total_time_s,warm_per_fold_time_s,cache_size_mb,cache_size_per_fold_mb,speedup_ratio,time_saved_s,mb_per_second_saved,cold_accuracy,warm_accuracy,accuracy_match,cache_verdict,error
svm_linear,svm,3,30,381.6,127.198,0.27,0.091,0.02,0.006,1403.96,381.32,0.0,0.7613,0.7613,True,VIABLE,
adaboost,boosting,3,30,164.19,54.73,0.17,0.055,0.06,0.021,994.73,164.03,0.0004,0.6878,0.6878,True,VIABLE,
gradient_boosting,boosting,3,30,1147.5,382.5,0.11,0.038,1.11,0.37,10019.78,1147.38,0.001,0.7479,0.7479,True,VIABLE,
logistic_regression,linear,3,30,9.99,3.33,0.28,0.093,0.02,0.006,35.8,9.71,0.0019,0.7114,0.7114,True,VIABLE,
decision_tree,tree,3,30,16.27,5.423,0.07,0.022,0.39,0.129,246.48,16.2,0.0239,0.7103,0.7103,True,VIABLE,
catboost,boosting,3,30,20.87,6.958,0.16,0.055,1.36,0.454,127.63,20.71,0.0658,0.7401,0.7401,True,VIABLE,
ridge_classifier,linear,3,30,0.57,0.19,0.28,0.093,0.02,0.006,2.05,0.29,0.0659,0.5321,0.5321,True,VIABLE,
naive_bayes,probabilistic,3,30,0.28,0.094,0.09,0.029,0.03,0.011,3.23,0.19,0.1677,0.5769,0.5769,True,VIABLE,
xgboost,boosting,3,30,18.1,6.034,0.18,0.061,3.75,1.249,99.21,17.92,0.2092,0.8187,0.8187,True,VIABLE,
svm_rbf,svm,3,30,135.09,45.031,7.26,2.421,45.11,15.036,18.6,127.83,0.3529,0.7073,0.7073,True,VIABLE,
lightgbm,boosting,3,30,8.42,2.806,0.19,0.063,4.6,1.535,44.34,8.23,0.5597,0.8006,0.8006,True,BORDERLINE,
random_forest,tree_ensemble,3,30,17.61,5.87,2.49,0.83,91.54,30.514,7.07,15.12,6.0544,0.8334,0.8334,True,NOT_VIABLE,
knn_5,distance,3,30,6.67,2.222,1.12,0.375,77.96,25.988,5.93,5.54,14.0695,0.7695,0.7695,True,NOT_VIABLE,
extra_trees,tree_ensemble,3,30,18.36,6.119,4.92,1.64,214.84,71.613,3.73,13.44,15.9899,0.8314,0.8314,True,NOT_VIABLE,
knn_10,distance,3,30,5.05,1.684,1.13,0.377,77.96,25.988,4.46,3.92,19.8894,0.7736,0.7736,True,NOT_VIABLE,
