model_name,category,n_folds_run,n_subjects,cold_total_time_s,cold_per_fold_time_s,warm_total_time_s,warm_per_fold_time_s,cache_size_mb,cache_size_per_fold_mb,speedup_ratio,time_saved_s,mb_per_second_saved,cold_accuracy,warm_accuracy,accuracy_match,cache_verdict,error
logistic_regression,linear,3,30,2.11,0.704,0.04,0.015,0.01,0.002,47.92,2.07,0.0029,0.5691,0.5691,True,VIABLE,
adaboost,boosting,3,30,18.45,6.15,0.05,0.017,0.06,0.021,368.48,18.4,0.0034,0.6809,0.6809,True,VIABLE,
svm_linear,svm,3,30,1.01,0.336,0.04,0.014,0.01,0.002,23.93,0.97,0.0059,0.723,0.723,True,VIABLE,
gradient_boosting,boosting,3,30,157.31,52.436,0.17,0.056,1.12,0.373,938.07,157.14,0.0071,0.7627,0.7627,True,VIABLE,
ridge_classifier,linear,3,30,0.1,0.032,0.04,0.014,0.01,0.002,2.26,0.05,0.1145,0.474,0.474,True,VIABLE,
naive_bayes,probabilistic,3,30,0.05,0.018,0.01,0.004,0.01,0.003,4.21,0.04,0.2123,0.4894,0.4894,True,VIABLE,
svm_rbf,svm,3,30,45.57,15.19,3.53,1.176,8.98,2.992,12.91,42.04,0.2135,0.6125,0.6125,True,VIABLE,
catboost,boosting,3,30,5.76,1.919,0.04,0.013,1.24,0.412,151.2,5.72,0.2162,0.6057,0.6057,True,VIABLE,
decision_tree,tree,3,30,2.02,0.675,0.02,0.006,0.51,0.169,115.5,2.01,0.2527,0.656,0.656,True,VIABLE,
xgboost,boosting,3,30,4.75,1.584,0.1,0.033,3.52,1.174,48.66,4.65,0.757,0.7818,0.7818,True,BORDERLINE,
lightgbm,boosting,3,30,5.37,1.792,0.11,0.037,4.35,1.451,47.96,5.26,0.827,0.7103,0.7103,True,BORDERLINE,
knn_5,distance,3,30,1.96,0.653,0.18,0.061,13.13,4.377,10.8,1.78,7.3832,0.7514,0.7514,True,TOO_FAST,
random_forest,tree_ensemble,3,30,8.15,2.718,1.54,0.514,110.14,36.713,5.29,6.61,16.6589,0.7661,0.7661,True,NOT_VIABLE,
extra_trees,tree_ensemble,3,30,10.98,3.66,3.59,1.196,257.23,85.742,3.06,7.39,34.7951,0.777,0.777,True,NOT_VIABLE,
knn_10,distance,3,30,0.6,0.201,0.24,0.079,13.13,4.377,2.53,0.36,35.9935,0.7627,0.7627,True,TOO_FAST,
