model_name,category,n_folds_run,n_subjects,cold_total_time_s,cold_per_fold_time_s,warm_total_time_s,warm_per_fold_time_s,cache_size_mb,cache_size_per_fold_mb,speedup_ratio,time_saved_s,mb_per_second_saved,cold_accuracy,warm_accuracy,accuracy_match,cache_verdict,error
svm_linear,svm,3,30,440.61,146.872,0.29,0.097,0.02,0.006,1514.95,440.32,0.0,0.7613,0.7613,True,VIABLE,
adaboost,boosting,3,30,116.15,38.716,0.19,0.064,0.06,0.021,605.82,115.96,0.0005,0.6878,0.6878,True,VIABLE,
logistic_regression,linear,3,30,26.44,8.813,0.74,0.247,0.02,0.006,35.72,25.7,0.0007,0.7114,0.7114,True,VIABLE,
gradient_boosting,boosting,3,30,791.34,263.781,0.16,0.052,1.12,0.372,5025.5,791.19,0.0014,0.7486,0.7486,True,VIABLE,
catboost,boosting,3,30,57.75,19.248,0.13,0.043,1.36,0.454,452.85,57.62,0.0237,0.7401,0.7401,True,VIABLE,
ridge_classifier,linear,3,30,1.43,0.478,0.68,0.225,0.02,0.006,2.12,0.76,0.0254,0.5321,0.5321,True,VIABLE,
decision_tree,tree,3,30,10.89,3.63,0.09,0.03,0.39,0.129,120.82,10.8,0.0359,0.7103,0.7103,True,VIABLE,
xgboost,boosting,3,30,42.52,14.173,0.2,0.068,3.75,1.249,208.39,42.31,0.0886,0.8064,0.8064,True,VIABLE,
naive_bayes,probabilistic,3,30,0.36,0.121,0.09,0.031,0.03,0.011,3.88,0.27,0.1211,0.5769,0.5769,True,VIABLE,
svm_rbf,svm,3,30,221.95,73.984,6.53,2.178,45.11,15.036,33.98,215.42,0.2094,0.7073,0.7073,True,VIABLE,
lightgbm,boosting,3,30,15.45,5.152,0.24,0.08,4.61,1.535,64.79,15.22,0.3027,0.8006,0.8006,True,VIABLE,
random_forest,tree_ensemble,3,30,27.95,9.316,2.16,0.72,91.54,30.514,12.94,25.79,3.5497,0.8334,0.8334,True,NOT_VIABLE,
knn_5,distance,3,30,10.35,3.45,1.85,0.617,77.96,25.988,5.59,8.5,9.1713,0.7695,0.7695,True,NOT_VIABLE,
extra_trees,tree_ensemble,3,30,17.39,5.795,4.33,1.443,214.84,71.613,4.02,13.06,16.4534,0.8314,0.8314,True,NOT_VIABLE,
knn_10,distance,3,30,4.26,1.42,1.07,0.355,77.96,25.988,4.0,3.19,24.4031,0.7736,0.7736,True,NOT_VIABLE,
